puzzle_id,size,rating
12019,75x80,5
2295,70x75,5
3773,90x90,5
12114,75x70,5
4992,80x65,5
4088,65x80,5
2408,80x80,5
6981,80x70,5
6982,80x80,5
3431,70x80,5
8492,80x80,5
6347,75x80,5
50,55x75,5
10826,50x75,5
9716,80x65,5
2449,80x65,5
3115,66x56,5
2401,80x80,5
2127,75x50,5
7300,65x60,5
11431,70x80,5
9507,80x75,5
12108,55x80,5
7322,79x80,5
4427,80x70,5
898,55x65,5
494,60x80,5
12272,80x70,5
5791,55x75,5
8711,95x75,5
4144,80x80,5
6743,80x65,5
11754,80x65,5
3969,80x60,5
5897,77x78,5
338,60x75,5
3354,73x74,5
3099,80x80,5
4540,65x80,5
1401,65x80,5
12326,62x80,5
7032,70x80,5
10049,75x70,5
5726,75x76,5
172,73x75,5
3060,76x63,5
265,80x65,5
979,70x55,5
6338,55x53,5
2194,50x40,5
7354,80x80,5
2383,80x70,5
8091,55x80,5
2927,50x70,5
9405,80x95,5
1997,80x80,5
4247,60x80,5
643,55x75,5
1115,65x75,5
171,60x75,5
12582,75x50,5
4271,75x80,5
2820,70x80,5
1828,75x80,5
1785,65x80,5
5637,80x60,5
531,70x80,5
7485,80x60,5
11871,45x45,5
1888,90x90,5
13646,95x80,5
11870,65x75,5
5760,80x80,5
10060,40x50,5
10464,80x80,5
8131,60x80,5
2609,80x80,5
10016,69x62,5
10218,65x60,5
4935,80x55,5
8746,85x90,5
8197,80x95,5
7439,55x75,5
7365,80x76,5
2116,75x80,5
9406,75x75,5
8018,75x75,5
5289,55x65,5
12655,80x80,5
11862,65x60,5
3435,80x75,5
7167,75x60,5
12214,55x75,5
9282,74x73,5
6380,55x75,5
10841,50x40,5
8097,60x80,5
5859,55x75,5
10008,72x95,5
7536,38x42,5
8820,80x95,5
1552,75x80,5
3105,55x35,5
2796,60x80,5
7781,55x75,5
6622,55x55,5
12699,50x50,5
12407,95x95,5
12686,75x80,5
51,75x75,5
5727,80x70,5
1881,47x65,5
12150,55x80,5
12227,50x40,5
2487,75x80,5
2898,55x80,5
167,70x60,5
11603,60x67,5
12453,64x80,5
2916,55x50,5
3446,80x80,5
6343,70x80,5
3437,75x80,5
4391,59x50,5
129,80x95,5
3561,65x80,5
11672,70x95,5
2794,80x80,5
10469,80x65,5
9191,75x65,5
3221,70x58,5
10067,50x40,5
5715,43x50,5
7587,45x48,5
10159,45x45,5
7487,60x40,5
9283,60x75,5
2554,64x74,5
407,60x65,5
6997,35x52,5
12599,80x55,5
2230,67x80,5
8916,65x80,5
299,65x65,5
5505,55x45,5
7206,47x35,5
3113,68x80,5
3507,61x77,5
10843,55x75,5
11949,80x64,5
12654,80x80,5
9562,70x57,5
7267,45x45,5
3012,76x80,5
10221,80x65,5
7909,55x80,5
2424,50x80,5
2451,50x50,5
10195,75x80,5
4139,50x80,5
11378,60x62,5
7492,45x55,5
1979,45x45,5
10817,45x40,5
6292,72x96,5
9259,60x75,5
2171,45x55,5
4216,42x65,5
1356,55x45,5
9586,70x80,5
6956,77x72,5
6345,50x35,5
5351,45x48,5
763,60x40,5
1929,55x50,5
5210,55x75,5
3475,75x75,5
1645,55x80,5
10197,75x55,5
3899,55x65,5
12104,55x80,5
4825,75x80,5
5416,73x58,5
2937,55x75,5
10576,65x55,5
2769,55x65,5
5748,60x80,5
325,41x45,5
1601,66x40,5
86,40x55,5
6753,55x25,5
6599,74x69,5
8266,55x75,5
5711,80x45,5
10175,55x50,5
8447,80x74,5
10675,70x60,5
5052,80x80,5
12110,55x75,5
9741,50x38,5
3504,60x65,5
2338,45x47,5
8335,50x80,5
11671,80x60,5
7061,55x50,5
3342,50x55,5
11928,55x48,5
3430,69x80,5
7923,45x43,5
4971,70x80,5
1874,35x40,5
5147,35x35,5
11432,55x55,5
492,50x60,5
4014,60x48,5
1117,50x45,5
461,65x60,5
11120,30x46,5
4143,50x80,5
11028,50x50,5
792,50x50,5
8762,55x45,5
11828,40x55,5
8681,65x30,5
8684,79x64,5
8438,35x40,5
10503,75x80,5
2518,70x48,5
3957,50x50,5
9850,45x45,5
3337,50x65,5
297,50x50,5
9300,24x32,5
198,55x70,5
4069,35x50,5
8911,75x70,5
9935,67x78,5
2450,50x46,5
2168,75x50,5
640,30x40,5
11663,93x63,5
6252,70x45,5
6340,55x50,5
2824,50x45,5
4284,25x35,5
1910,45x45,5
1565,75x75,5
178,65x80,5
10711,40x45,5
2453,43x33,5
12557,80x80,5
5015,65x80,5
3343,45x55,5
736,55x45,5
2490,45x45,5
12417,80x77,5
2161,70x50,5
7438,41x49,5
612,40x45,5
12629,80x80,5
9273,55x80,5
136,63x80,5
39,65x47,5
4608,57x32,5
6315,75x68,5
7403,75x65,5
1107,55x55,5
9198,45x45,5
943,68x78,5
1794,60x45,5
10074,40x40,5
6699,65x80,5
12534,38x55,5
339,55x80,5
2602,40x33,5
989,65x65,5
12135,63x38,5
9073,37x54,5
10322,35x50,5
2732,55x75,5
8756,50x30,5
6251,35x25,5
3508,70x80,5
2182,55x40,5
10681,40x40,5
3487,75x50,5
1259,50x74,5
496,53x69,5
11529,40x50,5
2636,77x78,5
2479,58x47,5
10875,80x75,5
3771,64x79,5
211,60x80,5
5525,55x80,5
5594,75x50,5
8697,64x73,5
9651,75x50,5
6572,45x45,5
10450,50x50,5
2170,35x30,5
46,80x79,5
6026,40x45,5
6376,40x55,5
1572,40x40,5
2630,55x75,5
8733,55x45,5
7437,41x36,5
10619,54x53,5
4406,55x75,5
2538,45x45,5
758,70x73,5
10655,35x35,5
13306,80x70,5
8878,70x80,5
6180,60x65,5
5766,80x75,5
2599,55x80,5
11673,80x70,5
6914,60x80,5
11748,55x80,5
7435,55x60,5
2464,50x40,5
12287,35x50,5
3823,45x45,5
1137,45x40,5
8096,27x30,5
11750,65x80,5
10056,45x40,5
5225,65x38,5
11177,40x40,5
5165,70x22,5
10480,50x40,5
6598,50x37,5
8370,45x35,5
3224,45x35,5
4606,65x29,5
6574,60x65,5
5342,58x53,5
1764,60x65,5
11081,65x55,5
6402,25x40,5
4578,70x80,5
7155,45x40,5
6862,41x43,5
6003,25x30,5
2205,70x80,5
5690,80x80,5
7355,70x80,5
12413,60x70,5
11643,70x60,5
5145,45x45,5
5317,35x30,5
5314,55x80,5
3248,75x55,5
2555,55x75,5
8723,52x40,5
4070,50x40,5
11735,69x65,5
10040,80x80,5
11932,70x70,5
7263,50x44,5
2332,70x80,5
10173,45x60,5
12069,45x45,5
2790,50x40,5
12745,55x32,5
1991,80x95,5
9590,76x78,5
2074,55x75,5
9153,28x32,5
6714,70x80,5
11757,45x45,5
502,65x80,5
2681,80x47,5
4858,50x70,5
8456,55x50,5
11971,80x92,5
9841,60x75,5
2117,48x55,5
11358,50x50,5
8922,50x50,5
10831,50x45,5
7612,40x45,5
5096,95x70,5
4543,65x75,5
2940,55x69,5
10407,35x30,5
7887,73x96,5
7269,65x75,5
11255,78x49,5
2701,50x75,5
7033,20x34,5
5457,59x95,5
8591,65x78,5
10750,79x53,5
11371,75x50,5
5460,70x45,5
4086,45x45,5
3517,65x80,5
11007,50x60,5
10148,40x45,5
6494,40x45,5
7047,70x75,5
11026,55x75,5
8331,35x35,5
9493,28x32,5
6132,67x51,5
2204,45x45,5
8691,50x30,5
2503,55x80,5
7258,55x75,5
5545,65x40,5
10752,80x80,5
176,45x45,5
12414,35x45,5
9993,40x45,5
6280,25x70,5
2367,63x88,5
3609,40x50,5
5718,35x45,5
305,36x35,5
9354,50x35,5
1994,45x35,5
1420,80x65,5
1036,60x80,5
7259,45x55,5
5843,75x61,5
9971,70x70,5
10600,65x60,5
1307,56x26,5
11846,58x43,5
11536,60x38,5
706,80x85,5
254,35x42,5
797,80x90,5
12213,80x75,5
9112,67x47,5
8937,40x45,5
6247,45x40,5
4706,40x45,5
11325,40x40,5
2795,55x53,5
9914,25x30,5
3937,45x55,5
5055,45x45,5
11373,44x45,5
2457,45x40,5
5283,35x45,5
1088,40x35,5
10842,75x80,5
8421,74x73,5
11749,55x80,5
3657,65x60,5
7112,65x55,5
3807,65x50,5
7748,55x50,5
5286,40x45,5
1823,40x45,5
8938,40x40,5
4668,40x40,5
1400,35x40,5
9788,75x60,5
4225,55x75,5
2632,55x75,5
4710,48x42,5
621,40x45,5
1883,65x75,5
734,60x78,5
6993,55x45,5
9778,45x50,5
9694,45x30,5
8304,50x40,5
12528,30x45,5
1629,55x80,5
3393,50x58,5
8311,50x30,5
9391,25x25,5
8408,45x40,5
2826,20x20,5
4060,77x55,5
6933,35x45,5
3763,35x35,5
10928,45x45,5
3335,67x80,5
12558,55x75,5
6481,54x70,5
2112,60x55,5
3147,55x40,5
10300,60x45,5
5758,50x50,5
8024,30x45,5
8933,30x25,5
1813,65x80,5
4252,68x68,5
3264,71x49,5
11771,55x55,5
8,55x55,5
9194,45x40,5
7488,35x45,5
4191,35x25,5
10654,70x80,5
8101,60x79,5
9257,65x80,5
6400,45x40,5
2316,80x70,5
6954,80x63,5
10832,70x70,5
1879,67x69,5
8489,45x35,5
10219,69x94,5
6619,80x70,5
8054,80x75,5
12318,49x80,5
8189,55x55,5
8153,58x47,5
5303,45x30,5
3613,55x75,5
12178,50x35,5
7310,74x77,5
11745,55x65,5
10163,50x60,5
12612,45x40,5
5184,43x39,5
3094,28x30,5
4154,70x80,5
9130,50x55,5
2475,26x33,5
10093,80x71,5
6928,30x55,5
4002,27x30,5
4085,25x25,5
10431,45x55,5
11804,45x35,5
4687,36x32,5
429,50x50,5
7084,40x55,5
3501,45x45,5
7037,40x35,5
11500,75x80,5
11758,55x70,5
11594,40x40,5
10514,55x40,5
6512,40x52,5
3459,80x80,5
11122,70x80,5
3515,60x80,5
5107,65x40,5
3241,45x55,5
11645,43x57,5
2092,60x35,5
11365,45x30,5
9855,30x37,5
1354,24x30,5
4323,30x20,5
8832,60x55,5
12488,50x80,5
8086,50x55,5
12519,54x44,5
12444,55x40,5
8844,49x112,5
10053,50x75,5
10737,55x55,5
3904,50x35,5
6245,30x45,5
5284,35x30,5
11815,25x30,5
459,26x24,5
3388,60x80,5
11182,55x75,5
6737,40x50,5
6277,38x52,5
6155,37x45,5
5405,35x25,5
12264,28x29,5
7405,75x80,5
7553,50x72,5
956,50x50,5
3654,71x84,5
1886,75x75,5
4714,65x80,5
10420,36x60,5
8959,40x45,5
10406,45x35,5
2248,32x25,5
8689,31x23,5
8692,34x18,5
5952,80x79,5
10466,60x95,5
6578,34x59,5
1483,35x45,5
3073,35x35,5
7001,30x35,5
12189,25x20,5
2494,18x27,5
9485,30x45,5
10099,80x70,5
9933,80x60,5
2434,55x75,5
12330,50x55,5
228,40x55,5
380,60x30,5
5006,24x35,5
8251,55x60,5
8840,22x34,5
1087,72x73,5
432,75x70,5
2237,55x75,5
11953,70x55,5
10038,38x37,5
6913,60x75,5
11469,62x27,5
6451,35x35,5
4075,35x25,5
6879,68x80,5
10712,55x80,5
4037,35x55,5
318,45x30,5
6006,25x30,5
1638,55x80,5
3779,50x55,5
7074,50x45,5
5074,40x45,5
3788,40x35,5
137,55x75,5
1856,45x45,5
6745,45x35,5
4296,25x32,5
1816,75x80,5
2812,40x45,5
3151,40x30,5
5246,35x25,5
628,35x25,5
11965,32x26,5
258,20x35,5
1411,60x75,5
6313,45x45,5
4533,71x91,5
834,70x70,5
11499,55x75,5
11837,37x37,5
8126,64x67,5
41,70x40,5
3461,45x45,5
10660,32x55,5
7590,55x65,5
11121,22x30,5
9035,76x78,5
9685,25x35,5
7291,29x30,5
5847,40x45,5
7635,65x50,5
11850,35x40,5
642,45x30,5
11817,25x35,5
6536,94x95,5
470,50x35,5
5379,40x35,5
7716,18x37,5
7822,35x35,5
2516,35x25,5
5468,55x66,5
8672,50x60,5
8237,45x40,5
514,35x40,5
9538,25x30,5
29,65x80,5
1877,45x60,5
1778,40x50,5
9332,45x40,5
7642,45x40,5
6463,40x45,5
6591,45x25,5
11873,35x45,5
983,60x40,5
6240,65x61,5
9387,56x42,5
11189,45x45,5
2515,38x48,5
2793,75x80,5
12575,50x74,5
260,27x40,5
11647,60x65,5
54,26x31,5
202,50x55,5
742,45x45,5
2195,40x45,5
4094,45x45,5
6988,35x30,5
11955,45x45,5
12372,23x25,5
768,40x43,5
1211,24x34,5
11825,70x60,5
12232,40x45,5
1579,25x30,5
5123,20x20,5
6801,35x55,5
7494,65x80,5
7507,35x25,5
7911,65x55,5
10260,40x35,5
11515,45x45,5
12408,35x45,5
8721,70x50,5
8951,30x40,5
9780,30x45,5
1263,40x22,5
2815,30x35,5
6440,58x73,5
6080,40x45,5
9375,45x45,5
9951,55x50,5
11721,45x45,5
12487,35x45,5
480,30x30,5
4090,45x45,5
7577,45x33,5
11981,35x45,5
212,67x68,5
1251,50x55,5
4900,60x45,5
6552,40x65,5
31,23x31,5
1482,25x20,5
2180,55x65,5
10141,35x45,5
2537,45x35,5
7048,33x18,5
7198,40x50,5
8298,55x45,5
12359,55x59,5
13504,45x45,5
350,70x80,5
1905,35x50,5
6287,25x50,5
9151,60x60,5
9650,50x35,5
11968,70x50,5
12423,40x45,5
4286,30x24,5
5382,25x22,5
8910,24x26,5
8987,40x50,5
8297,45x55,5
12510,45x45,5
5716,50x50,5
6179,45x35,5
11435,45x55,5
11976,65x80,5
796,55x75,5
1239,40x55,5
2135,45x40,5
2962,25x25,5
5104,75x80,5
5266,45x30,5
6355,35x40,5
8415,25x25,5
1800,50x80,5
1901,40x40,5
2159,30x45,5
2311,80x61,5
6305,50x60,5
6691,54x64,5
8330,25x20,5
8861,55x75,5
9355,35x45,5
11675,65x55,5
11853,35x45,5
143,29x33,5
3285,54x70,5
9120,70x65,5
11512,80x40,5
12246,25x35,5
5798,35x34,5
8332,45x35,5
298,45x40,5
327,50x60,5
3333,65x45,5
6748,50x75,5
7729,17x21,5
7878,33x27,5
8296,40x45,5
10592,60x33,5
12210,46x57,5
4952,44x33,5
8088,35x60,5
8161,25x35,5
9871,47x75,5
11595,54x80,5
516,65x55,5
3924,45x45,5
7087,25x25,5
8720,79x56,5
12578,40x45,5
1094,40x50,5
4021,40x45,5
4647,55x65,5
12113,55x65,5
13472,80x80,5
8238,80x70,5
8551,35x60,5
12162,20x25,5
5936,45x55,5
7285,40x40,5
9705,38x30,5
12091,23x33,5
701,25x28,5
2837,55x75,5
4393,45x40,5
5094,45x40,5
6293,45x60,5
6720,35x40,5
8667,80x60,5
843,40x30,5
1265,45x30,5
1534,40x45,5
3641,31x24,5
5152,25x30,5
5278,45x30,5
9560,75x95,5
11032,40x50,5
11526,46x50,5
7576,35x40,5
11521,35x40,5
4580,40x45,5
5265,32x37,5
7276,45x40,5
7820,25x30,5
9682,55x45,5
1661,30x20,5
1871,63x61,5
3361,60x80,5
3522,34x30,5
8049,30x25,5
8486,45x45,5
10018,30x35,5
3160,35x25,5
4298,40x45,5
5013,50x35,5
5759,56x66,5
6990,35x45,5
8146,35x45,5
10683,74x89,5
416,60x80,5
2160,55x70,5
10918,35x37,5
11430,50x60,5
11740,77x51,5
11833,20x30,5
12819,70x93,5
3649,20x30,5
4734,50x50,5
5339,75x40,5
3481,30x50,5
6595,55x38,5
6640,50x70,5
981,40x45,5
1359,60x50,5
1568,67x61,5
1738,40x50,5
2124,45x35,5
2659,25x35,5
3247,45x30,5
3513,55x80,5
4188,45x35,5
4770,55x80,5
5319,50x29,5
7426,25x30,5
8570,29x31,5
267,80x80,5
858,45x25,5
4303,18x28,5
4442,55x65,5
9171,75x50,5
10139,45x45,5
11618,35x30,5
1229,25x25,5
3412,50x35,5
3652,25x26,5
5292,45x50,5
8683,70x35,5
8943,45x35,5
4910,25x20,5
6746,33x42,5
920,31x41,5
2241,50x30,5
9819,65x55,5
186,49x46,5
5181,28x18,5
458,25x25,5
5410,30x40,5
6070,55x45,5
7607,23x29,5
10614,40x45,5
10848,56x80,5
4456,60x45,5
6182,45x35,5
11940,55x25,5
12278,55x45,5
1193,35x25,5
4149,75x80,5
5056,48x25,5
6061,30x23,5
4305,35x25,5
9370,30x40,5
7215,70x60,5
1577,80x60,5
4078,35x45,5
4203,55x65,5
4907,45x40,5
4938,45x40,5
5065,25x30,5
6436,30x40,5
9092,70x70,5
10728,40x30,5
11657,65x80,5
2607,40x45,5
2938,35x30,5
6331,50x30,5
12396,55x60,5
1588,79x77,5
6513,50x50,5
8817,35x30,5
11816,40x45,5
13266,55x75,5
1637,70x80,5
5149,55x36,5
5477,75x80,5
6429,25x30,5
8813,57x55,5
1144,40x64,5
2354,75x80,5
7138,35x25,5
8450,23x29,5
8491,70x80,5
11316,25x35,5
6332,34x19,5
593,75x49,5
2136,35x44,5
4304,21x22,5
8477,30x45,5
9051,40x30,5
9365,32x26,5
877,45x30,5
2767,70x75,5
6611,55x35,5
7758,45x45,5
9037,80x58,5
9515,40x38,5
11065,80x80,5
12713,40x55,5
13240,45x40,5
13518,38x49,5
3161,45x40,5
4115,25x35,5
7358,25x25,5
9527,55x60,5
2784,35x45,5
4087,45x35,5
4189,45x18,5
387,50x30,5
11739,45x50,5
2243,25x25,5
4885,45x30,5
7899,26x30,5
9124,40x50,5
7238,55x65,5
8710,55x50,5
9717,45x18,5
5298,16x21,5
7958,73x43,5
10042,25x35,5
3799,30x25,5
3923,38x50,5
5143,25x30,5
10253,65x55,5
11907,45x40,5
5288,35x45,5
5481,25x35,5
7320,55x65,5
7423,29x28,5
7601,33x42,5
149,61x70,5
2436,55x75,5
2549,25x35,5
5487,25x35,5
7910,23x25,5
11826,30x35,5
3008,25x35,5
3486,40x35,5
3989,35x50,5
7031,25x45,5
8253,40x45,5
8930,20x30,5
11619,30x40,5
783,20x21,5
1261,40x50,5
1305,67x50,5
2707,55x65,5
3228,28x22,5
3360,60x80,5
5311,45x40,5
5539,21x19,5
8416,21x17,5
10386,80x45,5
13593,43x35,5
915,55x79,5
3245,35x45,5
3599,38x45,5
4809,35x50,5
9024,22x35,5
12503,30x50,5
13536,40x45,5
3598,43x31,5
5059,45x40,5
6432,35x45,5
8291,80x80,5
9361,37x34,5
10743,34x17,5
12550,29x28,5
1574,45x45,5
2773,45x45,5
5578,28x20,5
6921,45x41,5
8340,30x25,5
9678,45x55,5
10742,75x60,5
12540,35x35,5
1172,35x30,5
2986,45x55,5
3450,25x35,5
5858,55x50,5
7745,35x25,5
10087,75x80,5
10453,45x65,5
13301,35x45,5
1633,65x55,5
2333,55x75,5
2700,35x50,5
3242,30x40,5
4308,25x32,5
5163,45x35,5
7876,50x35,5
10370,28x26,5
3941,35x45,5
4017,28x22,5
11596,55x40,5
12329,21x19,5
390,25x20,5
857,44x45,5
5393,36x45,5
6057,20x30,5
7896,37x40,5
9175,72x64,5
10171,47x31,5
10491,70x76,5
10593,47x14,5
11559,50x75,5
605,46x60,5
3503,30x30,5
6660,25x35,5
8267,65x50,5
13169,30x25,5
548,33x40,5
657,65x52,5
9033,43x37,5
10835,60x60,5
2998,45x40,5
3707,20x30,5
5951,50x65,5
9360,35x25,5
12466,55x75,5
966,35x45,5
2196,25x30,5
2465,33x40,5
2610,40x35,5
3553,65x40,5
4089,40x35,5
4671,25x30,5
7381,55x55,5
8364,27x25,5
8724,45x42,5
9570,30x21,5
7734,69x29,5
8201,80x80,5
8485,35x40,5
10543,30x28,5
10748,63x40,5
11919,50x40,5
89,54x80,5
856,45x55,5
962,40x30,5
1089,40x45,5
6409,45x45,5
7546,40x35,5
13486,40x45,5
3472,25x25,5
5470,40x50,5
7305,55x75,5
7366,23x30,5
7641,30x35,5
7993,30x40,5
8785,23x19,5
8958,40x50,5
9353,20x20,5
12092,60x77,5
277,37x45,5
3705,65x80,5
6636,35x45,5
9543,60x75,5
859,55x33,5
10354,32x27,5
12632,40x33,5
620,35x50,5
1056,70x85,5
5814,50x60,5
6377,28x46,5
11062,26x32,5
12169,35x45,5
13698,29x30,5
5347,35x40,5
5786,33x40,5
6319,30x20,5
13590,40x45,5
317,50x32,5
1827,40x45,5
2270,45x30,5
4080,40x30,5
12183,53x30,5
3428,58x59,5
3720,25x32,5
12754,20x20,5
1835,25x35,5
4604,40x40,5
6119,60x70,5
259,50x25,5
1017,55x80,5
1169,75x70,5
1556,50x55,5
4577,40x45,5
7556,20x25,5
8726,25x35,5
9561,50x35,5
66,47x34,5
3376,40x55,5
5209,80x80,5
5665,55x65,5
7026,55x62,5
9473,30x30,5
10459,60x70,5
12017,45x40,5
1142,50x50,5
2122,20x22,5
2133,35x40,5
2552,45x35,5
8272,45x40,5
8881,30x20,5
9895,55x75,5
9910,50x25,5
10883,47x47,5
11338,25x25,5
532,69x87,5
2685,20x20,5
2905,25x25,5
5236,32x35,5
5279,40x35,5
5800,28x30,5
7715,23x25,5
6426,30x35,5
8208,40x50,5
1670,27x24,5
1793,31x69,5
4438,45x40,5
4755,16x33,5
5300,25x35,5
5421,49x40,5
5602,30x40,5
6938,45x45,5
8066,55x75,5
9644,50x75,5
10140,35x45,5
2368,55x75,5
2413,25x30,5
7013,43x40,5
7746,40x45,5
9285,43x36,5
12494,50x60,5
12691,40x40,5
3395,40x50,5
